2024-05-13T13:36:30.883213826,GET,All Parents,null
2024-05-13T13:36:36.438331548,GET,Parent,4
2024-05-13T13:36:36.438991872,GET,Group,1
2024-05-13T13:36:36.439649821,GET,Parent,1
2024-05-13T13:36:36.440199624,GET,Group,1
2024-05-13T13:36:36.440285740,GET,All Students,null
2024-05-13T13:36:45.964008735,GET,Parent,1
2024-05-13T13:36:45.965646133,GET,Group,1
2024-05-13T13:36:45.969423134,GET,Student,2
2024-05-13T13:36:45.971515330,GET,Parent,1
2024-05-13T13:36:45.972378181,GET,Group,1
2024-05-13T13:36:45.972477147,GET,Student,2
2024-05-13T13:36:56.074433911,GET,Group,1
2024-05-13T13:36:56.076059012,UPDATE,Student,2
2024-05-13T13:36:59.074176128,GET,Parent,9
2024-05-13T13:36:59.083651678,UPDATE,Student,2
2024-05-13T13:37:02.175167715,GET,Parent,4
2024-05-13T13:37:02.175863301,GET,Group,1
2024-05-13T13:37:02.176433701,GET,Parent,9
2024-05-13T13:37:02.176950436,GET,Group,1
2024-05-13T13:37:02.177037108,GET,All Students,null
2024-05-13T13:37:12.771069140,GET,All Parents,null
2024-05-13T13:37:23.781195320,GET,All Teachers,null
2024-05-13T13:37:33.967432164,GET,All Teachers,1
2024-05-13T13:37:37.009572733,GET,All Teachers,null
2024-05-13T13:37:41.916575141,GET,All Teachers,2
2024-05-13T13:37:57.285078732,ADD,Teacher,3
2024-05-13T13:37:58.745851624,GET,All Teachers,null
2024-05-13T13:38:03.032242135,GET,All Teachers,3
2024-05-13T13:38:03.041418117,DELETE,Teachers,3
2024-05-13T13:38:04.109638911,GET,All Teachers,null
2024-05-13T13:38:10.136652505,GET,All Class Sessions,null
2024-05-13T13:38:26.117549396,GET,Courses,1
2024-05-13T13:38:26.119696096,GET,Courses,1
2024-05-13T13:38:28.159846490,GET,Group,1
2024-05-13T13:38:28.161879322,GET,Group,1
2024-05-13T13:38:34.846326167,ADD,Class Session,1
2024-05-13T13:38:34.850404687,GET,Parent,4
2024-05-13T13:38:34.851975968,GET,Parent,9
2024-05-13T13:38:34.852297658,GET,All students by group,null
2024-05-13T13:41:22.044331687,GET,All Parents,null
2024-05-13T13:41:37.979820662,GET,Courses,1
2024-05-13T13:41:37.982504468,GET,Courses,1
2024-05-13T13:41:38.720933398,GET,Group,1
2024-05-13T13:41:38.723231442,GET,Group,1
2024-05-13T13:41:41.362037319,ADD,Class Session,2
2024-05-13T13:41:41.366255975,GET,Parent,4
2024-05-13T13:41:41.367544002,GET,Parent,9
2024-05-13T13:41:41.367855155,GET,All students by group,null
2024-05-13T13:41:41.371522686,ADD,Class Attendance,1
2024-05-13T13:41:41.373721194,ADD,Class Attendance,2
2024-05-13T13:41:41.373790072,ADD,Class Attendance for Class Session,2
2024-05-13T13:41:46.822638026,GET,All Class Sessions,null
2024-05-13T13:42:02.502820521,GET,Class sessions,1
2024-05-13T13:42:02.512536202,DELETE,Class session,1
2024-05-13T13:42:05.242580098,GET,All Class Sessions,null
2024-05-13T13:42:11.576024352,GET,Parent,4
2024-05-13T13:42:11.577786455,GET,Group,1
2024-05-13T13:42:11.577898260,GET,Student,1
2024-05-13T13:42:11.578529242,GET,Class sessions,2
2024-05-13T13:42:11.579471470,GET,Parent,9
2024-05-13T13:42:11.580262562,GET,Group,1
2024-05-13T13:42:11.580418730,GET,Student,2
2024-05-13T13:42:11.581380309,GET,Class sessions,2
2024-05-13T13:42:11.581560338,GET,All Class Attendances,null
2024-05-13T13:42:36.513347888,GET,Parent,4
2024-05-13T13:42:36.515054309,GET,Group,1
2024-05-13T13:42:36.515167331,GET,Student,1
2024-05-13T13:42:36.515741510,GET,Class sessions,2
2024-05-13T13:42:36.515838439,GET,Class Attendance,1
2024-05-13T13:42:40.662716888,UPDATE,Class Attendance,1
2024-05-13T13:42:42.367800426,GET,Parent,4
2024-05-13T13:42:42.369360382,GET,Group,1
2024-05-13T13:42:42.369479893,GET,Student,1
2024-05-13T13:42:42.370132993,GET,Class sessions,2
2024-05-13T13:42:42.371038584,GET,Parent,9
2024-05-13T13:42:42.371489183,GET,Group,1
2024-05-13T13:42:42.371556674,GET,Student,2
2024-05-13T13:42:42.371951347,GET,Class sessions,2
2024-05-13T13:42:42.372036156,GET,All Class Attendances,null
2024-05-13T13:42:47.159846458,GET,Parent,9
2024-05-13T13:42:47.161632009,GET,Group,1
2024-05-13T13:42:47.161958206,GET,Student,2
2024-05-13T13:42:47.163563767,GET,Class sessions,2
2024-05-13T13:42:47.163832613,GET,Class Attendance,2
2024-05-13T13:42:58.028983482,UPDATE,Class Attendance,2
2024-05-13T13:43:00.161957915,GET,Parent,4
2024-05-13T13:43:00.163696003,GET,Group,1
2024-05-13T13:43:00.163892517,GET,Student,1
2024-05-13T13:43:00.164763974,GET,Class sessions,2
2024-05-13T13:43:00.167694347,GET,Parent,9
2024-05-13T13:43:00.169264615,GET,Group,1
2024-05-13T13:43:00.169440835,GET,Student,2
2024-05-13T13:43:00.170570235,GET,Class sessions,2
2024-05-13T13:43:00.170738667,GET,All Class Attendances,null
2024-05-13T13:43:13.020525199,GET,Parent,9
2024-05-13T13:43:13.022763713,GET,Group,1
2024-05-13T13:43:13.023127814,GET,Student,2
2024-05-13T13:43:13.023841514,GET,Class sessions,2
2024-05-13T13:43:13.023937842,GET,Class Attendance,2
2024-05-13T13:45:32.790079314,GET,All Parents,null
2024-05-13T13:45:36.878649920,GET,Parent,4
2024-05-13T13:45:36.879426,GET,Group,1
2024-05-13T13:45:36.879666777,GET,Student,1
2024-05-13T13:45:36.880611722,GET,Class sessions,2
2024-05-13T13:45:36.882285570,GET,Parent,9
2024-05-13T13:45:36.882866994,GET,Group,1
2024-05-13T13:45:36.882940575,GET,Student,2
2024-05-13T13:45:36.883619210,GET,Class sessions,2
2024-05-13T13:45:36.883710008,GET,All Class Attendances,null
2024-05-13T13:45:40.746322820,GET,Parent,9
2024-05-13T13:45:40.748525953,GET,Group,1
2024-05-13T13:45:40.748652095,GET,Student,2
2024-05-13T13:45:40.749359983,GET,Class sessions,2
2024-05-13T13:45:40.749492666,GET,Class Attendance,2
2024-05-13T13:45:42.048434916,UPDATE,Class Attendance,2
2024-05-13T13:45:43.270348753,GET,Parent,4
2024-05-13T13:45:43.271783228,GET,Group,1
2024-05-13T13:45:43.271972343,GET,Student,1
2024-05-13T13:45:43.273168437,GET,Class sessions,2
2024-05-13T13:45:43.275336831,GET,Parent,9
2024-05-13T13:45:43.276308511,GET,Group,1
2024-05-13T13:45:43.276465842,GET,Student,2
2024-05-13T13:45:43.277369260,GET,Class sessions,2
2024-05-13T13:45:43.277509633,GET,All Class Attendances,null
2024-05-13T13:45:55.083051634,GET,Parent,9
2024-05-13T13:45:55.084973730,GET,Group,1
2024-05-13T13:45:55.085223245,GET,Student,2
2024-05-13T13:45:55.086760374,GET,Class sessions,2
2024-05-13T13:45:55.086979605,GET,Class Attendance,2
2024-05-13T13:45:57.232503343,UPDATE,Class Attendance,2
2024-05-13T13:45:58.700741463,GET,Parent,4
2024-05-13T13:45:58.702939071,GET,Group,1
2024-05-13T13:45:58.703230047,GET,Student,1
2024-05-13T13:45:58.704494915,GET,Class sessions,2
2024-05-13T13:45:58.707013998,GET,Parent,9
2024-05-13T13:45:58.707875729,GET,Group,1
2024-05-13T13:45:58.708008028,GET,Student,2
2024-05-13T13:45:58.708578360,GET,Class sessions,2
2024-05-13T13:45:58.708706492,GET,All Class Attendances,null
2024-05-13T13:49:18.082934601,GET,All Parents,null
2024-05-13T13:49:29.867320174,GET,Parent,4
2024-05-13T13:49:29.868737051,GET,Group,1
2024-05-13T13:49:29.869000367,GET,Student,1
2024-05-13T13:49:29.869837224,GET,Class sessions,2
2024-05-13T13:49:29.871247372,GET,Parent,9
2024-05-13T13:49:29.871900647,GET,Group,1
2024-05-13T13:49:29.872004723,GET,Student,2
2024-05-13T13:49:29.872586860,GET,Class sessions,2
2024-05-13T13:49:29.872686693,GET,All Class Attendances,null
2024-05-13T13:49:33.034040824,GET,Parent,9
2024-05-13T13:49:33.034663042,GET,Group,1
2024-05-13T13:49:33.034787321,GET,Student,2
2024-05-13T13:49:33.035361371,GET,Class sessions,2
2024-05-13T13:49:33.035477860,GET,Class Attendance,2
2024-05-13T13:49:34.195455519,UPDATE,Class Attendance,2
2024-05-13T13:49:35.521469213,GET,Parent,4
2024-05-13T13:49:35.522202323,GET,Group,1
2024-05-13T13:49:35.522292713,GET,Student,1
2024-05-13T13:49:35.522942696,GET,Class sessions,2
2024-05-13T13:49:35.524044398,GET,Parent,9
2024-05-13T13:49:35.524534447,GET,Group,1
2024-05-13T13:49:35.524608949,GET,Student,2
2024-05-13T13:49:35.525033837,GET,Class sessions,2
2024-05-13T13:49:35.525136880,GET,All Class Attendances,null
2024-05-13T13:49:50.620666103,GET,Parent,4
2024-05-13T13:49:50.622323224,GET,Group,1
2024-05-13T13:49:50.622423537,GET,Student,1
2024-05-13T13:49:50.622952734,GET,Class sessions,2
2024-05-13T13:49:50.625889083,GET,Parent,9
2024-05-13T13:49:50.626991040,GET,Group,1
2024-05-13T13:49:50.627134909,GET,Student,2
2024-05-13T13:49:50.628019014,GET,Class sessions,2
2024-05-13T13:49:50.628151419,GET,All Class Attendances,null
2024-05-13T13:49:59.391006852,GET,Class sessions,2
2024-05-13T13:50:11.869836670,GET,Parent,4
2024-05-13T13:50:11.871607009,GET,Group,1
2024-05-13T13:50:11.871945734,GET,Student,1
2024-05-13T13:50:11.874043271,GET,Class sessions,2
2024-05-13T13:50:11.877159077,GET,Parent,9
2024-05-13T13:50:11.878284234,GET,Group,1
2024-05-13T13:50:11.878409765,GET,Student,2
2024-05-13T13:50:11.879199635,GET,Class sessions,2
2024-05-13T13:50:11.879328302,GET,All Class Attendances,null
2024-05-13T13:50:16.641650735,GET,All Class Sessions,null
